created_at,source,original_text,polarity,subjectivity,lang,favorite_count,retweet_count,original_author,followers_count,friends_count,possibly_sensitive,hashtags,user_mentions,place,clean_text
2021-06-18 17:55:49+00:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","🚨Africa is ""in the midst of a full-blown third wave"" of coronavirus, the head of @WHOAFRO has warned

Cases have risen across the continent by more than 20% and deaths have also risen by 15% in the last week

@jriggers reports ~ 🧵
https://t.co/CRDhqPHFWM",0.16666666666666666,0.18888888888888888,en,548.0,612,ketuesriche,551,351,,[],"['@TelGlobalHealth', '@WHOAFRO']",Mass,"🚨africa is in the midst of a fullblown third wave of coronavirus the head of  has warned

cases have risen across the continent by more than 20 and deaths have also risen by 15 in the last week

 reports  🧵
httpstcocrdhqphfwm"
2021-06-18 17:55:59+00:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Dr Moeti is head of WHO in Africa, and one of the best public health experts and leaders I know. Hers is a desperate request for vaccines to Africa. We plead with Germany and the UK to lift patent restrictions and urgently transfer technology to enable production in Africa. https://t.co/sOgIroihOc",0.13333333333333333,0.45555555555555555,en,195.0,92,Grid1949,66,92,,[],['@globalhlthtwit'],"Edinburgh, Scotland",dr moeti is head of who in africa and one of the best public health experts and leaders i know hers is a desperate request for vaccines to africa we plead with germany and the uk to lift patent restrictions and urgently transfer technology to enable production in africa httpstcosogiroihoc
2021-06-18 17:56:07+00:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Thank you @research2note for creating this amazing campaign &amp; turning social media #red4research today. @NHSRDFORUM is all about sharing the talent, passion  &amp; commitment of individuals coming together as a community for the benefit of all. You've done this. Well done 👋",0.3166666666666667,0.48333333333333334,en,2.0,1,LeeTomlinson8,1195,1176,,['#red4research'],"['@NHSRDForum', '@Research2note', '@NHSRDForum']",,thank you  for creating this amazing campaign amp turning social media  today  is all about sharing the talent passion  amp commitment of individuals coming together as a community for the benefit of all youve done this well done 👋
2021-06-18 17:56:10+00:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Former Pfizer VP and Virologist, Dr. Michael Yeadon, is one of the most credentialed medical professionals speaking out about the dangers of the #Covid19 vaccines, breaks down his “list of lies” that keeps him up at night. https://t.co/LSE8CrKdqn",0.08611111111111111,0.19722222222222224,en,1580.0,899,RIPNY08,2666,2704,,[],['@HighWireTalk'],,former pfizer vp and virologist dr michael yeadon is one of the most credentialed medical professionals speaking out about the dangers of the  vaccines breaks down his “list of lies” that keeps him up at night httpstcolse8crkdqn
2021-06-18 17:56:20+00:00,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",I think it’s important that we don’t sell COVAX short. It still has a lot going for it and is innovative in its design. But it needs more vaccines to share.  We’re hoping our low cost @TexasChildrens recombinant protein COVID19 vaccine with @biological_e will help fill some gaps,0.27999999999999997,0.6199999999999999,en,72.0,20,pash22,28250,30819,,[],['@PeterHotez'],United Kingdom,i think it’s important that we don’t sell covax short it still has a lot going for it and is innovative in its design but it needs more vaccines to share  we’re hoping our low cost  recombinant protein covid19 vaccine with  will help fill some gaps
2021-06-18 17:56:25+00:00,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","I’m pleased to welcome the #WeCanDoThis bus to Atlanta today! Remember, there are 3 easy ways to find a #COVID19 vaccine near you:  
🔍 Search https://t.co/d2PDWIps8o  
📱Text your ZIP code to 438829  
📞 Call 1-800-232-0233 https://t.co/AMmcMmCtiP",0.5083333333333333,0.7833333333333333,en,683.0,220,SandhraLee,759,4163,,"['#WeCanDoThis', '#COVID19']",['@CDCDirector'],USA,"i’m pleased to welcome the  bus to atlanta today remember there are 3 easy ways to find a  vaccine near you  
🔍 search httpstcod2pdwips8o  
📱text your zip code to 438829  
📞 call 18002320233 httpstcoammcmmctip"
2021-06-18 17:56:44+00:00,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","Yet another amazingly qualified and courageous doctor, Roger Hodkinson, speaks out against the crazy government policy responses to COVID.  I have condensed his 45 minutes on The Hirewire to 6 Twitter size edits, starting with an overview of interventions and vaccines. https://t.co/WcVq32s9WD",3.700743415417188e-17,0.6333333333333334,en,536.0,347,neilwalton48,221,599,,[],['@RealJoelSmalley'],,yet another amazingly qualified and courageous doctor roger hodkinson speaks out against the crazy government policy responses to covid  i have condensed his 45 minutes on the hirewire to 6 twitter size edits starting with an overview of interventions and vaccines httpstcowcvq32s9wd
2021-06-18 17:56:46+00:00,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","Yet another amazingly qualified and courageous doctor, Roger Hodkinson, speaks out against the crazy government policy responses to COVID.  I have condensed his 45 minutes on The Hirewire to 6 Twitter size edits, starting with an overview of interventions and vaccines. https://t.co/WcVq32s9WD",3.700743415417188e-17,0.6333333333333334,en,536.0,348,Candide62,154,1102,,[],['@RealJoelSmalley'],"Nord-Pas-de-Calais, France",yet another amazingly qualified and courageous doctor roger hodkinson speaks out against the crazy government policy responses to covid  i have condensed his 45 minutes on the hirewire to 6 twitter size edits starting with an overview of interventions and vaccines httpstcowcvq32s9wd
2021-06-18 17:56:46+00:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Dr Moeti is head of WHO in Africa, and one of the best public health experts and leaders I know. Hers is a desperate request for vaccines to Africa. We plead with Germany and the UK to lift patent restrictions and urgently transfer technology to enable production in Africa.",0.13333333333333333,0.45555555555555555,en,197.0,93,AnneCar51323293,115,2030,,[],['@globalhlthtwit'],,dr moeti is head of who in africa and one of the best public health experts and leaders i know hers is a desperate request for vaccines to africa we plead with germany and the uk to lift patent restrictions and urgently transfer technology to enable production in africa
2021-06-18 17:56:47+00:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","It is really something to see new research coming out about damage to the brain, heart, and more from #Covid19. And then watch our government reopen everything and just let Covid and #DeltaVariant spread wildly throughout our country.

Vaccines are great but we need to do more https://t.co/o8vX9TkY0Q",0.37272727272727274,0.46742424242424246,en,3.0,1,DarkaDuna2014,94,144,,['#Covid19'],['@LongCovidNYC'],"Bilbao, País Vasco","it is really something to see new research coming out about damage to the brain heart and more from  and then watch our government reopen everything and just let covid and  spread wildly throughout our country

vaccines are great but we need to do more httpstcoo8vx9tky0q"
2021-06-18 17:56:52+00:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","I’m pleased to welcome the #WeCanDoThis bus to Atlanta today! Remember, there are 3 easy ways to find a #COVID19 vaccine near you:  
🔍 Search https://t.co/d2PDWIps8o  
📱Text your ZIP code to 438829  
📞 Call 1-800-232-0233 https://t.co/AMmcMmCtiP",0.5083333333333333,0.7833333333333333,en,685.0,221,Jmilio54,15,43,,"['#WeCanDoThis', '#COVID19']",['@CDCDirector'],,"i’m pleased to welcome the  bus to atlanta today remember there are 3 easy ways to find a  vaccine near you  
🔍 search httpstcod2pdwips8o  
📱text your zip code to 438829  
📞 call 18002320233 httpstcoammcmmctip"
2021-06-18 17:56:54+00:00,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",BioCubaFarma says phase 3 clinical trial results for #Cuban #COVID19 #vaccines are due out in a few days. Soberana02 (with and without booster) and Abdala were tested in 85K+ volunteers in Havana and eastern Cuba. @BioCubaFarma @FinlayInstituto @cda_dc @WOLA_org @aperezriverol https://t.co/GkrwLdJX1M,-0.1625,0.2375,en,52.0,28,LilyWad75051099,474,361,,"['#Cuban', '#COVID19', '#vaccines']",['@MediccGail'],,biocubafarma says phase 3 clinical trial results for    are due out in a few days soberana02 with and without booster and abdala were tested in 85k volunteers in havana and eastern cuba      httpstcogkrwldjx1m
2021-06-18 17:56:58+00:00,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",THIS FIRST AID AGENT  NOTICED THAT MOST OF THE AGED PEOPLE HE TOOK CARE OF WERE VICTIMS OF STROKE AND LATER PASSED… https://t.co/iol4J5FQXo,,,en,,0,SammyEyong,14,80,False,[],[],,this first aid agent  noticed that most of the aged people he took care of were victims of stroke and later passed… httpstcoiol4j5fqxo
2021-06-18 17:57:06+00:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","It is really something to see new research coming out about damage to the brain, heart, and more from #Covid19. And then watch our government reopen everything and just let Covid and #DeltaVariant spread wildly throughout our country.

Vaccines are great but we need to do more https://t.co/o8vX9TkY0Q",0.37272727272727274,0.46742424242424246,en,4.0,2,trekkerteach12,7778,5990,,['#Covid19'],['@LongCovidNYC'],,"it is really something to see new research coming out about damage to the brain heart and more from  and then watch our government reopen everything and just let covid and  spread wildly throughout our country

vaccines are great but we need to do more httpstcoo8vx9tky0q"
2021-06-18 17:57:12+00:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",RT @YakiLopez: I guess this is what ethnic cleansing and apartheid look like…🤦🏻‍♂️ https://t.co/3eRJjOZF8W,,,en,22.0,6,emet_news_press,9765,7035,False,[],['@YakiLopez'],Global,rt  i guess this is what ethnic cleansing and apartheid look like…🤦🏻‍♂️ httpstco3erjjozf8w
2021-06-18 17:57:16+00:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Look how pathetically disrespectful the US is with the Pfizer distribution. Mere 400-480 while the others have hund… https://t.co/1KD2TVM0ak,,,en,,0,edjimimi,371,605,,[],[],"Austin, TX",look how pathetically disrespectful the us is with the pfizer distribution mere 400480 while the others have hund… httpstco1kd2tvm0ak
2021-06-18 17:57:18+00:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","It is really something to see new research coming out about damage to the brain, heart, and more from #Covid19. And then watch our government reopen everything and just let Covid and #DeltaVariant spread wildly throughout our country.

Vaccines are great but we need to do more https://t.co/o8vX9TkY0Q",0.37272727272727274,0.46742424242424246,en,5.0,3,SheriD17536431,470,1240,,['#Covid19'],['@LongCovidNYC'],Nashville,"it is really something to see new research coming out about damage to the brain heart and more from  and then watch our government reopen everything and just let covid and  spread wildly throughout our country

vaccines are great but we need to do more httpstcoo8vx9tky0q"
